MSZoning,LotAreaInThousand,LotArea,LotShape,Utilities,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Heating,CentralAir,Electrical,1stFlrSFInHundred,1stFlrSF,2ndFlrSFInHundred,2ndFlrSF,Functional,GarageType,GarageAreaInHundreds,GarageArea,PavedDrive,YrSold,SaleType,SaleCondition,SalePrice,SalesPriceInThousand
RL,16.321,16321,IR1,AllPub,1Fam,1Story,5,6,1957,GasA,Y,SBrkr,16,1600,0,0,Typ,Attchd,3.19,319,Y,2006,WD,Normal,207500,207.5
RM,6.324,6324,IR1,AllPub,1Fam,1Story,4,6,1927,GasA,N,SBrkr,5.2,520,0,0,Typ,Detchd,2.4,240,Y,2008,WD,Normal,68500,68.5
C (all),8.5,8500,Reg,AllPub,1Fam,2Story,4,4,1920,GasA,N,SBrkr,6.49,649,6.68,668,Typ,Detchd,2.5,250,N,2008,WD,Normal,40000,40
RL,8.544,8544,IR1,AllPub,1Fam,1Story,5,6,1966,GasA,Y,SBrkr,12.28,1228,0,0,Typ,Attchd,2.71,271,Y,2008,WD,Normal,149350,149.35
RL,11.049,11049,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,12.34,1234,0,0,Typ,Attchd,4.84,484,Y,2008,WD,Normal,179900,179.9
RL,10.552,10552,IR1,AllPub,1Fam,1Story,5,5,1959,GasA,Y,SBrkr,17,1700,0,0,Typ,Attchd,4.47,447,Y,2010,WD,Normal,165500,165.5
RL,7.313,7313,Reg,AllPub,TwnhsE,1Story,9,5,2005,GasA,Y,SBrkr,15.61,1561,0,0,Typ,Attchd,5.56,556,Y,2007,WD,Normal,277500,277.5
RL,13.418,13418,Reg,AllPub,1Fam,2Story,8,5,2004,GasA,Y,SBrkr,11.32,1132,13.2,1320,Typ,BuiltIn,6.91,691,Y,2006,WD,Normal,309000,309
RL,10.859,10859,Reg,AllPub,1Fam,1Story,5,5,1994,GasA,Y,SBrkr,10.97,1097,0,0,Typ,Attchd,6.72,672,Y,2009,WD,Normal,145000,145
RL,8.532,8532,Reg,AllPub,1Fam,1Story,5,6,1954,GasA,Y,SBrkr,12.97,1297,0,0,Typ,Attchd,4.98,498,Y,2009,WD,Normal,153000,153
RL,7.922,7922,Reg,AllPub,1Fam,1Story,5,7,1953,GasA,Y,SBrkr,10.57,1057,0,0,Typ,Detchd,2.46,246,Y,2010,WD,Abnorml,109000,109
RL,6.04,6040,Reg,AllPub,Duplex,1Story,4,5,1955,GasA,N,FuseP,11.52,1152,0,0,Typ,NA,0,0,N,2008,WD,AdjLand,82000,82
RL,8.658,8658,Reg,AllPub,1Fam,1Story,6,5,1965,GasA,Y,SBrkr,13.24,1324,0,0,Typ,Attchd,4.4,440,Y,2006,WD,Abnorml,160000,160
RL,16.905,16905,Reg,AllPub,1Fam,1Story,5,6,1959,GasA,Y,SBrkr,13.28,1328,0,0,Typ,Attchd,3.08,308,P,2007,WD,Normal,170000,170
RL,9.18,9180,IR1,AllPub,1Fam,SFoyer,5,7,1983,GasA,Y,SBrkr,8.84,884,0,0,Typ,Attchd,5.04,504,Y,2007,WD,Normal,144000,144
RL,9.2,9200,IR1,AllPub,1Fam,1Story,5,6,1975,GasA,Y,SBrkr,9.38,938,0,0,Typ,Detchd,3.08,308,Y,2008,WD,Normal,130250,130.25
RL,7.945,7945,Reg,AllPub,1Fam,1Story,5,6,1959,GasA,Y,FuseA,11.5,1150,0,0,Typ,Attchd,3,300,Y,2006,WD,Normal,141000,141
RL,7.658,7658,Reg,AllPub,TwnhsE,1Story,9,5,2005,GasA,Y,SBrkr,17.52,1752,0,0,Typ,Attchd,5.76,576,Y,2010,WD,Normal,319900,319.9
RL,12.822,12822,IR1,AllPub,1Fam,1.5Fin,7,5,2003,GasA,Y,SBrkr,15.18,1518,6.31,631,Typ,Attchd,6.7,670,Y,2009,WD,Abnorml,239686,239.686
FV,11.096,11096,Reg,AllPub,1Fam,1Story,8,5,2006,GasA,Y,SBrkr,16.56,1656,0,0,Typ,Attchd,8.26,826,Y,2007,WD,Normal,249700,249.7
RM,4.456,4456,Reg,AllPub,2fmCon,2Story,4,5,1920,GasA,Y,SBrkr,7.36,736,7.16,716,Typ,NA,0,0,N,2009,New,Partial,113000,113
RL,7.742,7742,Reg,AllPub,1Fam,1Story,5,7,1966,GasA,Y,SBrkr,9.55,955,0,0,Typ,Attchd,3.86,386,Y,2007,WD,Normal,127000,127
RL,13.869,13869,IR2,AllPub,1Fam,2Story,6,6,1997,GasA,Y,SBrkr,7.94,794,6.76,676,Typ,Attchd,3.88,388,Y,2007,WD,Normal,177000,177
RM,6.24,6240,Reg,AllPub,1Fam,1.5Fin,6,6,1934,GasA,Y,SBrkr,8.16,816,0,0,Typ,Detchd,5.28,528,Y,2006,WD,Normal,114500,114.5
RM,8.472,8472,IR2,AllPub,Duplex,1Story,5,5,1963,GasA,N,SBrkr,8.16,816,0,0,Typ,CarPort,5.16,516,Y,2010,WD,Normal,110000,110
RL,50.271,50271,IR1,AllPub,1Fam,1Story,9,5,1981,GasA,Y,SBrkr,18.42,1842,0,0,Typ,Attchd,8.94,894,Y,2006,WD,Normal,385000,385
RL,7.134,7134,Reg,AllPub,1Fam,SLvl,5,5,1955,GasA,Y,SBrkr,13.6,1360,0,0,Min1,Detchd,5.72,572,Y,2007,WD,Normal,130000,130
RL,10.175,10175,IR1,AllPub,1Fam,1Story,6,5,1964,GasA,Y,SBrkr,14.25,1425,0,0,Typ,Attchd,5.76,576,Y,2008,WD,Normal,180500,180.5
FV,2.645,2645,Reg,AllPub,Twnhs,2Story,8,5,1999,GasA,Y,SBrkr,9.83,983,7.56,756,Typ,Attchd,4.8,480,Y,2009,WD,Abnorml,172500,172.5
RL,11.645,11645,IR1,AllPub,1Fam,2Story,7,5,2004,GasA,Y,SBrkr,8.6,860,8.6,860,Typ,Attchd,5.65,565,Y,2006,WD,Normal,196500,196.5
RL,13.682,13682,IR2,AllPub,1Fam,2Story,10,5,2006,GasA,Y,SBrkr,14.26,1426,15.19,1519,Typ,BuiltIn,6.41,641,Y,2006,New,Partial,438780,438.78
RL,7.2,7200,Reg,AllPub,1Fam,1Story,5,7,1972,GasA,Y,SBrkr,7.8,780,0,0,Typ,Detchd,3.52,352,Y,2008,WD,Normal,124900,124.9
RL,13.072,13072,Reg,AllPub,1Fam,1Story,6,5,2004,GasA,Y,SBrkr,11.58,1158,0,0,Typ,Detchd,5.76,576,Y,2006,New,Partial,158000,158
RM,7.2,7200,Reg,AllPub,1Fam,2.5Unf,5,7,1920,GasA,N,SBrkr,5.81,581,5.3,530,Typ,Detchd,2.88,288,N,2007,WD,Normal,101000,101
RL,6.442,6442,IR1,AllPub,TwnhsE,1Story,8,5,2006,GasA,Y,SBrkr,13.7,1370,0,0,Typ,Attchd,4.84,484,Y,2007,WD,Normal,202500,202.5
RM,10.3,10300,IR1,AllPub,1Fam,2Story,7,6,1921,GasA,Y,SBrkr,9.02,902,8.08,808,Typ,Detchd,4.8,480,Y,2010,WD,Normal,140000,140
RL,9.375,9375,Reg,AllPub,1Fam,2Story,7,5,1997,GasA,Y,SBrkr,10.57,1057,9.77,977,Typ,Attchd,6.45,645,Y,2009,WD,Normal,219500,219.5
RL,9.591,9591,Reg,AllPub,1Fam,2Story,8,5,2004,GasA,Y,SBrkr,11.43,1143,13.3,1330,Typ,BuiltIn,8.52,852,Y,2007,WD,Normal,317000,317
RL,19.9,19900,Reg,AllPub,1Fam,1Story,7,5,1970,GasA,Y,SBrkr,22.07,2207,0,0,Min1,Attchd,5.76,576,Y,2010,WD,Normal,180000,180
RL,10.665,10665,IR1,AllPub,1Fam,1Story,7,5,2003,GasA,Y,SBrkr,14.79,1479,0,0,Typ,Attchd,5.58,558,Y,2007,WD,Normal,226000,226
RM,4.608,4608,Reg,AllPub,1Fam,1Story,4,6,1945,GasA,Y,SBrkr,7.47,747,0,0,Typ,Attchd,2.2,220,Y,2010,WD,Normal,80000,80
RL,15.593,15593,Reg,AllPub,1Fam,1.5Fin,7,4,1953,GasW,Y,SBrkr,13.04,1304,9.83,983,Typ,Attchd,6.67,667,Y,2006,WD,Normal,225000,225
RL,13.651,13651,IR1,AllPub,1Fam,1Story,7,6,1973,GasA,Y,SBrkr,22.23,2223,0,0,Typ,Attchd,5.16,516,Y,2007,WD,Normal,244000,244
RL,7.599,7599,Reg,AllPub,1Fam,1Story,4,6,1982,GasA,Y,SBrkr,8.45,845,0,0,Typ,Detchd,3.6,360,Y,2007,WD,Normal,129500,129.5
RL,10.141,10141,IR1,AllPub,1Fam,2Story,7,5,1998,GasA,Y,SBrkr,8.85,885,8.33,833,Typ,Attchd,4.27,427,Y,2009,WD,Normal,185000,185
RL,10.2,10200,Reg,AllPub,1Fam,1Story,5,7,1954,GasA,Y,SBrkr,10.86,1086,0,0,Typ,Attchd,4.9,490,Y,2010,WD,Normal,144900,144.9
RM,5.79,5790,Reg,AllPub,1Fam,2Story,3,6,1915,GasA,N,SBrkr,8.4,840,7.65,765,Typ,Detchd,3.79,379,Y,2010,WD,Normal,107400,107.4
RM,1.596,1596,Reg,AllPub,Twnhs,SLvl,4,5,1973,GasA,Y,SBrkr,5.26,526,4.62,462,Typ,BuiltIn,2.97,297,Y,2009,WD,Normal,91000,91
RL,8.475,8475,IR1,AllPub,1Fam,1Story,4,7,1956,GasA,Y,FuseA,9.52,952,0,0,Typ,Detchd,2.83,283,Y,2008,WD,Normal,135750,135.75
RM,8.635,8635,Reg,AllPub,1Fam,1.5Fin,5,5,1948,GasA,Y,SBrkr,10.72,1072,2.13,213,Min1,Detchd,2.4,240,Y,2008,WD,Normal,127000,127
RL,10.778,10778,Reg,AllPub,Duplex,1Story,4,5,1968,GasA,N,SBrkr,17.68,1768,0,0,Typ,NA,0,0,Y,2010,WD,Normal,136500,136.5
RM,10.44,10440,Reg,AllPub,1Fam,2Story,5,6,1910,GasA,Y,SBrkr,6.82,682,5.48,548,Typ,Detchd,4.4,440,Y,2009,WD,Normal,110000,110
RL,13,13000,Reg,AllPub,1Fam,2Story,6,6,1968,GasA,Y,SBrkr,11.82,1182,9.6,960,Typ,Attchd,5.09,509,Y,2009,WD,Normal,193500,193.5
RM,4.5,4500,Reg,AllPub,TwnhsE,1Story,6,5,1998,GasA,Y,SBrkr,13.37,1337,0,0,Typ,Attchd,4.05,405,Y,2006,WD,Normal,153500,153.5
RL,10.206,10206,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,15.63,1563,0,0,Typ,Attchd,7.58,758,Y,2008,WD,Normal,245000,245
RL,8.892,8892,IR1,AllPub,1Fam,1Story,5,5,1960,GasA,Y,SBrkr,10.65,1065,0,0,Typ,Detchd,4.61,461,Y,2007,COD,Normal,126500,126.5
RL,8.53,8530,IR1,AllPub,1Fam,SLvl,7,5,1995,GasA,Y,SBrkr,8.04,804,6.7,670,Typ,BuiltIn,4,400,Y,2009,WD,Normal,168500,168.5
RL,16.059,16059,Reg,AllPub,1Fam,2Story,8,5,1991,GasA,Y,SBrkr,13.01,1301,11.16,1116,Typ,Attchd,4.62,462,Y,2006,WD,Normal,260000,260
RL,11.911,11911,IR2,AllPub,1Fam,2Story,6,5,2005,GasA,Y,SBrkr,6.84,684,8.76,876,Typ,BuiltIn,4,400,Y,2009,WD,Normal,174000,174
FV,3.951,3951,Reg,AllPub,TwnhsE,2Story,6,5,2009,GasA,Y,SBrkr,6.12,612,6.12,612,Typ,Detchd,5.28,528,Y,2009,New,Partial,164500,164.5
C (all),8.47,8470,IR1,AllPub,1Fam,1.5Fin,3,2,1915,GasA,N,SBrkr,10.13,1013,0,0,Typ,NA,0,0,N,2009,ConLD,Abnorml,85000,85
RL,8.07,8070,Reg,AllPub,1Fam,1Story,4,5,1994,GasA,Y,SBrkr,9.9,990,0,0,Typ,NA,0,0,Y,2007,WD,Normal,123600,123.6
RL,7.2,7200,Reg,AllPub,1Fam,1Story,4,5,1950,GasA,Y,FuseA,10.4,1040,0,0,Typ,Detchd,4.2,420,Y,2006,WD,Normal,109900,109.9
RL,8.5,8500,Reg,AllPub,1Fam,1Story,5,3,1961,GasA,Y,SBrkr,12.35,1235,0,0,Typ,Attchd,4.8,480,Y,2006,WD,Abnorml,98600,98.6
RL,13.36,13360,IR1,AllPub,1Fam,1Story,5,7,1921,GasA,Y,SBrkr,9.64,964,0,0,Typ,Detchd,4.32,432,Y,2009,WD,Normal,163500,163.5
C (all),7.2,7200,Reg,AllPub,2fmCon,2.5Unf,6,6,1910,GasW,N,SBrkr,12.6,1260,10.31,1031,Typ,Detchd,5.06,506,Y,2007,WD,Normal,133900,133.9
RL,9.337,9337,IR1,AllPub,1Fam,2Story,6,5,1997,GasA,Y,SBrkr,9.05,905,8.81,881,Typ,Attchd,6.84,684,Y,2007,WD,Normal,204750,204.75
RL,9.765,9765,IR2,AllPub,1Fam,2Story,6,8,1993,GasA,Y,SBrkr,6.8,680,7.9,790,Typ,BuiltIn,4.2,420,Y,2009,WD,Normal,185000,185
RL,10.264,10264,IR1,AllPub,1Fam,1Story,7,5,1999,GasA,Y,SBrkr,15.88,1588,0,0,Typ,Attchd,4.72,472,Y,2006,WD,Normal,214000,214
RL,10.921,10921,Reg,AllPub,1Fam,1Story,4,5,1965,GasA,Y,FuseF,9.6,960,0,0,Typ,Attchd,4.32,432,P,2007,WD,Normal,94750,94.75
RL,10.625,10625,Reg,AllPub,1Fam,1Story,5,5,1920,GasA,N,SBrkr,8.35,835,0,0,Typ,Basment,3.66,366,Y,2010,COD,Abnorml,83000,83
RL,9.32,9320,IR1,AllPub,1Fam,1Story,4,5,1959,GasA,Y,SBrkr,12.25,1225,0,0,Typ,NA,0,0,Y,2010,WD,Normal,128950,128.95
RL,10.603,10603,IR1,AllPub,1Fam,1Story,6,7,1977,GasA,Y,SBrkr,16.1,1610,0,0,Typ,Attchd,4.8,480,Y,2010,WD,Normal,205000,205
RL,9.206,9206,Reg,AllPub,1Fam,2Story,6,5,1985,GasA,Y,SBrkr,9.77,977,7.55,755,Typ,Attchd,4.76,476,Y,2010,WD,Normal,178000,178
RL,7.018,7018,Reg,AllPub,Duplex,1Story,5,5,1979,GasA,Y,SBrkr,15.35,1535,0,0,Typ,Attchd,4.1,410,Y,2009,WD,Alloca,118964,118.964
RL,10.402,10402,IR1,AllPub,1Fam,1Story,7,5,2009,GasA,Y,SBrkr,12.26,1226,0,0,Typ,Attchd,7.4,740,Y,2010,WD,Normal,198900,198.9
RM,7.758,7758,Reg,AllPub,1Fam,1.5Fin,7,4,1931,GasA,Y,FuseF,12.26,1226,5.92,592,Typ,Detchd,2.4,240,Y,2007,WD,Normal,169500,169.5
FV,9.375,9375,Reg,AllPub,1Fam,2Story,8,5,2003,GasA,Y,SBrkr,10.53,1053,9.39,939,Typ,Attchd,6.48,648,Y,2008,WD,Normal,250000,250
RM,10.8,10800,Reg,AllPub,1Fam,1Story,4,7,1885,GasA,Y,SBrkr,10.47,1047,0,0,Typ,Detchd,2.73,273,N,2007,WD,Normal,100000,100
RM,6,6000,Reg,AllPub,1Fam,1Story,5,5,1948,GasA,Y,SBrkr,7.89,789,0,0,Typ,Detchd,2.5,250,Y,2008,WD,Partial,115000,115
RM,8.5,8500,Reg,AllPub,1Fam,1.5Fin,5,7,1919,GasW,N,FuseF,9.97,997,5.2,520,Typ,NA,0,0,N,2007,WD,Normal,115000,115
RL,11.751,11751,IR1,AllPub,1Fam,1Story,6,6,1977,GasA,Y,SBrkr,18.44,1844,0,0,Typ,Attchd,5.46,546,Y,2010,COD,Normal,190000,190
RL,9.525,9525,Reg,AllPub,1Fam,1.5Fin,6,4,1954,GasA,Y,SBrkr,12.16,1216,6.39,639,Typ,Attchd,3.25,325,Y,2006,WD,Normal,136900,136.9
RL,7.75,7750,IR1,AllPub,1Fam,SLvl,7,5,2000,GasA,Y,SBrkr,7.74,774,6.56,656,Typ,BuiltIn,4,400,Y,2010,WD,Normal,180000,180
RL,9.965,9965,Reg,AllPub,1Fam,2Story,7,5,2007,GasA,Y,SBrkr,12.82,1282,14.14,1414,Typ,BuiltIn,7.92,792,Y,2007,New,Partial,383970,383.97
RL,21,21000,Reg,AllPub,1Fam,1Story,6,5,1953,GasA,Y,SBrkr,22.59,2259,0,0,Typ,Basment,4.5,450,Y,2007,COD,Abnorml,217000,217
RL,7.259,7259,IR1,AllPub,1Fam,2Story,6,8,1945,GasA,Y,SBrkr,14.36,1436,8.84,884,Typ,Detchd,1.8,180,Y,2007,WD,Normal,259500,259.5
FV,3.23,3230,Reg,AllPub,TwnhsE,2Story,6,5,1999,GasA,Y,SBrkr,7.29,729,7.29,729,Typ,Detchd,4.4,440,Y,2007,WD,Normal,176000,176
RL,11.616,11616,Reg,AllPub,1Fam,1Story,5,5,1962,GasA,Y,SBrkr,10.92,1092,0,0,Typ,Attchd,2.88,288,Y,2009,WD,Normal,139000,139
RL,8.536,8536,Reg,AllPub,1Fam,1Story,5,5,2006,GasA,Y,SBrkr,11.25,1125,0,0,Typ,Attchd,4.3,430,Y,2007,New,Partial,155000,155
RL,12.376,12376,Reg,AllPub,1Fam,2Story,7,5,1990,GasA,Y,SBrkr,16.99,1699,15.23,1523,Typ,Attchd,5.94,594,Y,2010,WD,Normal,320000,320
RL,8.461,8461,Reg,AllPub,1Fam,2Story,6,5,2005,GasA,Y,SBrkr,7.28,728,7.28,728,Typ,Attchd,3.9,390,Y,2006,New,Partial,163990,163.99
RL,21.453,21453,IR1,AllPub,1Fam,SLvl,6,5,1969,GasA,Y,SBrkr,9.88,988,0,0,Typ,Attchd,5.4,540,Y,2006,WD,Normal,180000,180
RM,6.06,6060,Reg,AllPub,1Fam,1.5Fin,4,5,1939,GasA,Y,SBrkr,7.72,772,3.51,351,Typ,Detchd,2.64,264,P,2007,WD,Normal,100000,100
RL,9.464,9464,Reg,AllPub,1Fam,1Story,6,7,1958,GasA,Y,SBrkr,10.8,1080,0,0,Typ,Attchd,2.88,288,Y,2008,WD,Normal,136000,136
RL,7.892,7892,Reg,AllPub,TwnhsE,1Story,6,5,1993,GasA,Y,SBrkr,11.99,1199,0,0,Typ,Attchd,5.3,530,Y,2008,WD,Normal,153900,153.9
RL,17.043,17043,IR1,AllPub,1Fam,1Story,6,5,1979,GasA,Y,SBrkr,15.86,1586,0,0,Typ,Attchd,4.35,435,Y,2009,WD,Normal,181000,181
RM,6.78,6780,Reg,AllPub,2fmCon,1.5Fin,6,8,1935,GasA,N,SBrkr,5.2,520,0,0,Typ,NA,0,0,N,2006,WD,Normal,84500,84.5
RL,4.928,4928,IR1,AllPub,TwnhsE,1Story,6,5,1976,GasA,Y,SBrkr,9.58,958,0,0,Typ,Attchd,4.4,440,Y,2007,WD,Normal,128000,128
RM,4.388,4388,IR1,AllPub,1Fam,1.5Unf,5,7,1930,GasA,Y,SBrkr,8.4,840,0,0,Typ,NA,0,0,N,2007,WD,Normal,87000,87
RL,7.59,7590,Reg,AllPub,1Fam,2Story,6,5,1966,GasA,Y,SBrkr,6.6,660,6.88,688,Typ,Attchd,4.53,453,Y,2006,WD,Normal,155000,155
RL,8.973,8973,Reg,AllPub,1Fam,1Story,5,7,1958,GasA,Y,FuseA,10.53,1053,0,0,Typ,2Types,7.5,750,Y,2006,WD,Abnorml,150000,150
RL,14.2,14200,Reg,AllPub,1Fam,2Story,7,6,1966,GasA,Y,SBrkr,12.16,1216,9.41,941,Typ,Attchd,4.87,487,Y,2006,WD,Normal,226000,226
RL,12.224,12224,IR1,AllPub,1Fam,2Story,6,5,2000,GasA,Y,SBrkr,10.22,1022,10.32,1032,Typ,BuiltIn,3.9,390,Y,2009,WD,Normal,244000,244
RL,7.388,7388,Reg,AllPub,1Fam,1Story,5,6,1959,GasA,Y,SBrkr,13.27,1327,0,0,Typ,Detchd,6.24,624,Y,2007,WD,Normal,150750,150.75
RL,6.853,6853,IR1,AllPub,1Fam,1Story,8,5,2001,GasA,Y,SBrkr,12.96,1296,0,0,Typ,Attchd,4.71,471,Y,2009,WD,Normal,220000,220
RL,10.335,10335,IR1,AllPub,1Fam,1Story,5,6,1968,GasA,Y,SBrkr,17.21,1721,0,0,Min1,Attchd,4.4,440,Y,2006,WD,Normal,180000,180
RL,10.4,10400,Reg,AllPub,1Fam,1Story,7,6,1970,GasA,Y,SBrkr,16.82,1682,0,0,Typ,Attchd,5.3,530,Y,2008,WD,Normal,174000,174
RL,10.355,10355,IR1,AllPub,1Fam,1Story,5,5,1967,GasA,Y,SBrkr,12.14,1214,0,0,Typ,Attchd,3.18,318,Y,2007,WD,Normal,143000,143
RL,11.07,11070,Reg,AllPub,Duplex,1Story,7,5,1988,GasA,Y,SBrkr,19.59,1959,0,0,Typ,2Types,7.66,766,Y,2006,WD,Family,171000,171
RL,9.066,9066,IR1,AllPub,1Fam,2Story,8,5,1999,GasA,Y,SBrkr,10.04,1004,8.48,848,Typ,Attchd,6.6,660,Y,2008,WD,Normal,230000,230
RL,15.426,15426,IR1,AllPub,1Fam,2Story,6,5,1997,GasA,Y,SBrkr,9.28,928,8.36,836,Typ,Attchd,4.7,470,Y,2009,WD,Normal,231500,231.5
RL,10.5,10500,Reg,AllPub,1Fam,1Story,4,5,1971,GasA,Y,SBrkr,8.64,864,0,0,Typ,NA,0,0,Y,2010,ConLI,Normal,115000,115
RL,11.645,11645,Reg,AllPub,1Fam,1Story,7,5,2005,GasA,Y,SBrkr,17.34,1734,0,0,Typ,Attchd,6.6,660,Y,2006,WD,Normal,260000,260
RL,8.52,8520,Reg,AllPub,1Fam,1.5Fin,5,4,1952,GasA,Y,SBrkr,9.1,910,4.75,475,Typ,Detchd,7.2,720,Y,2010,WD,Normal,166000,166
RL,10.335,10335,IR1,AllPub,1Fam,1Story,7,5,1999,GasA,Y,SBrkr,15.01,1501,0,0,Typ,Attchd,5.77,577,Y,2009,WD,Normal,204000,204
RM,9.1,9100,Reg,AllPub,Duplex,1Story,5,5,1963,GasA,Y,SBrkr,17.28,1728,0,0,Typ,Detchd,5.04,504,Y,2006,ConLI,Abnorml,125000,125
